CUN,Cancún International Airport,Cancún
MEX,Licenciado Benito Juarez International Airport,Ciudad de México
SJD,Los Cabos International Airport,San José del Cabo
PVR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara
MTY,General Mariano Escobedo International Airport,Monterrey
HMO,General Ignacio P. Garcia International Airport,Hermosillo
ACA,General Juan N Alvarez International Airport,Acapulco
TIJ,General Abelardo L. Rodríguez International Airport,Tijuana
CZM,Cozumel International Airport,Cozumel
MID,Licenciado Manuel Crescencio Rejon Int Airport,Mérida
CUU,General Roberto Fierro Villalobos International Airport,Chihuahua
BJX,Del Bajío International Airport,Silao
MLM,General Francisco J. Mujica International Airport,Morelia
MZT,General Rafael Buelna International Airport,Mazatlán
VSA,Carlos Rovirosa Pérez International Airport,Villahermosa
VER,General Heriberto Jara International Airport,Veracruz
ZIH,Ixtapa Zihuatanejo International Airport,Ixtapa
AGU,Jesús Terán Paredo International Airport,Aguascalientes
QRO,Querétaro Intercontinental Airport,Querétaro
SLP,Ponciano Arriaga International Airport,San Luis Potosí
TRC,Francisco Sarabia International Airport,Torreón
ZLO,Playa De Oro International Airport,Manzanillo
CUL,Bachigualato Federal International Airport,Culiacán
OAX,Xoxocotlán International Airport,Oaxaca
PBC,Hermanos Serdán International Airport,Puebla
ZCL,General Leobardo C. Ruiz International Airport,Zacatecas
CJS,Abraham González International Airport,Ciudad Juárez
LAP,Manuel Márquez de León International Airport,La Paz
REX,General Lucio Blanco International Airport,Reynosa
